"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	517384	79395694	651.7
	"1 year"	"1"	35356	79194281	44.6
	"2 years"	"2"	23095	79154742	29.2
	"3 years"	"3"	17238	79262786	21.7
	"4 years"	"4"	13922	79598657	17.5
	"5 years"	"5"	12029	79863539	15.1
	"6 years"	"6"	10794	80006188	13.5
	"7 years"	"7"	10248	80485178	12.7
	"8 years"	"8"	10210	80826214	12.6
	"9 years"	"9"	10126	81521571	12.4
	"10 years"	"10"	10427	83056702	12.6
	"11 years"	"11"	11161	82992386	13.4
	"12 years"	"12"	12367	83403761	14.8
	"13 years"	"13"	15019	83503468	18.0
	"14 years"	"14"	19265	83577997	23.1
	"15 years"	"15"	25532	83942044	30.4
	"16 years"	"16"	36921	84487597	43.7
	"17 years"	"17"	46887	84868171	55.2
	"18 years"	"18"	61447	85448559	71.9
	"19 years"	"19"	68775	86029404	79.9
	"20 years"	"20"	71861	85721376	83.8
	"21 years"	"21"	78614	85581410	91.9
	"22 years"	"22"	79457	85203739	93.3
	"23 years"	"23"	80066	84758063	94.5
	"24 years"	"24"	81332	84511165	96.2
	"25 years"	"25"	81696	84312105	96.9
	"26 years"	"26"	82988	83398342	99.5
	"27 years"	"27"	84261	83311481	101.1
	"28 years"	"28"	85763	82820409	103.6
	"29 years"	"29"	88157	82304457	107.1
	"30 years"	"30"	89957	82910047	108.5
	"31 years"	"31"	93067	81893355	113.6
	"32 years"	"32"	96918	82430052	117.6
	"33 years"	"33"	100987	82208180	122.8
	"34 years"	"34"	106585	82491074	129.2
	"35 years"	"35"	113502	83243199	136.3
	"36 years"	"36"	119366	83312919	143.3
	"37 years"	"37"	128032	83599274	153.1
	"38 years"	"38"	137136	83932529	163.4
	"39 years"	"39"	147543	84387916	174.8
	"40 years"	"40"	159521	84975915	187.7
	"41 years"	"41"	173126	85290143	203.0
	"42 years"	"42"	188256	85964438	219.0
	"43 years"	"43"	205626	86334863	238.2
	"44 years"	"44"	223765	86450756	258.8
	"45 years"	"45"	243250	86806418	280.2
	"46 years"	"46"	266034	86714464	306.8
	"47 years"	"47"	287738	86682252	331.9
	"48 years"	"48"	309567	85811694	360.8
	"49 years"	"49"	334529	85261311	392.4
	"50 years"	"50"	360544	84631119	426.0
	"51 years"	"51"	388067	84079050	461.6
	"52 years"	"52"	417657	83761655	498.6
	"53 years"	"53"	442255	81952616	539.6
	"54 years"	"54"	468506	80634606	581.0
	"55 years"	"55"	495710	78509108	631.4
	"56 years"	"56"	521699	76860921	678.8
	"57 years"	"57"	547320	74554760	734.1
	"58 years"	"58"	571117	72206090	791.0
	"59 years"	"59"	594816	69542717	855.3
	"60 years"	"60"	618794	66927224	924.6
	"61 years"	"61"	640851	64583758	992.3
	"62 years"	"62"	668012	62076589	1076.1
	"63 years"	"63"	693569	59385999	1167.9
	"64 years"	"64"	717665	56925467	1260.7
	"65 years"	"65"	738703	54511823	1355.1
	"66 years"	"66"	761278	52104627	1461.1
	"67 years"	"67"	790230	49874125	1584.4
	"68 years"	"68"	819377	47677709	1718.6
	"69 years"	"69"	855541	45531697	1879.0
	"70 years"	"70"	890000	43327988	2054.1
	"71 years"	"71"	925071	41314694	2239.1
	"72 years"	"72"	960573	38901195	2469.3
	"73 years"	"73"	1007813	37383163	2695.9
	"74 years"	"74"	1055636	35798489	2948.8
	"75 years"	"75"	1106214	34037442	3250.0
	"76 years"	"76"	1149078	32333194	3553.9
	"77 years"	"77"	1203383	30726288	3916.5
	"78 years"	"78"	1255795	29220210	4297.7
	"79 years"	"79"	1309800	27574538	4750.0
	"80 years"	"80"	1360922	25876081	5259.4
	"81 years"	"81"	1403372	24204784	5797.9
	"82 years"	"82"	1448762	22463406	6449.4
	"83 years"	"83"	1475345	20732257	7116.2
	"84 years"	"84"	1500440	18914814	7932.6
